fips,median_age,white_pct,black_pct,hispanic_pct
28031,37.7,60.4,34.6,1.6
28033,37.0,59.5,32.0,0.7
28035,31.8,57.2,35.8,0.8
28037,42.7,62.6,35.0,0.9
28039,36.2,86.4,7.8,1.5
28041,40.5,71.7,24.8,1.6
28043,38.9,51.1,44.8,0.6
28045,45.7,84.4,6.8,1.8
28047,38.1,63.1,24.1,1.7
28049,36.6,23.6,72.4,0.8
28051,35.8,14.2,82.4,1.0
28053,38.4,20.3,78.8,0.3
28055,49.5,26.6,70.1,1.6
28057,39.4,89.6,7.8,0.6
28059,39.7,68.3,20.5,1.2
28061,42.4,45.2,53.2,0.5
28063,43.0,13.2,81.2,4.6
28065,45.7,38.1,60.2,0.5
28067,37.6,65.4,28.7,1.4
28069,40.7,33.7,60.4,4.7
28071,30.9,69.8,23.1,0.5
28073,37.5,72.8,21.6,0.6
28075,39.5,51.6,42.0,1.1
28077,40.7,64.3,31.8,0.9
28079,40.0,46.7,39.1,6.5
28081,37.7,63.4,29.9,1.0
28083,34.5,21.4,74.5,0.2
28085,41.2,67.8,30.3,0.5
28087,37.0,50.2,44.0,1.3
28089,38.5,55.5,37.3,0.4
28091,40.7,63.9,32.1,0.7
28093,41.8,47.2,43.7,2.6
28095,41.6,67.3,30.2,0.5
28097,42.4,52.3,45.2,1.5
28099,37.7,57.8,21.4,17.7
28101,37.8,58.9,31.8,3.4
28103,39.9,25.4,73.8,0.3
28105,25.5,55.8,36.2,1.1
28107,39.7,47.0,48.1,0.5
28109,41.1,80.4,12.3,2.0
28111,42.9,77.6,15.8,0.7
28113,37.1,42.0,54.1,1.0
28115,35.7,75.2,14.8,0.7
28117,37.9,80.1,11.4,1.6
28119,41.0,25.0,72.2,0.6
28121,39.4,72.1,21.6,0.7
28123,37.2,50.3,33.5,0.8
28125,36.6,25.6,73.7,0.0
28127,41.0,61.2,35.5,0.5
28129,42.9,73.8,24.1,0.3
28131,39.3,76.6,18.0,1.0
28133,37.6,23.4,73.0,0.5
28135,38.4,36.2,62.1,1.0
28137,38.5,66.5,29.9,0.5
28139,39.7,76.0,14.7,1.6
28141,43.5,91.6,1.2,2.2
28143,34.7,18.2,79.6,0.1
28145,38.4,76.9,16.1,0.6
28147,41.4,53.1,40.8,1.9
28149,40.3,46.7,49.0,1.1
28151,38.3,24.3,72.2,0.3
28153,39.1,56.7,37.1,0.7
28155,40.3,79.0,18.6,0.4
28157,39.1,28.2,67.2,1.0
28159,42.3,49.7,47.2,1.4
28161,42.4,58.9,36.7,2.4
28163,38.4,39.3,58.1,0.7
29001,29.8,88.9,4.2,1.0
29003,42.1,93.8,0.9,1.1
29005,47.7,94.3,0.4,0.7
29007,40.3,89.1,4.7,1.5
29009,43.0,81.9,0.3,4.1
29011,40.6,92.1,0.2,4.2
